,week,position,name,overall_rank,Andy Behrens,Scott Pianowski,Dalton Del Don,Matt Harmon,Kate Magdziuk,Tera Roberts,points,ranking,overall_rank_error,Andy Behrens_error,Scott Pianowski_error,Dalton Del Don_error,Matt Harmon_error,Kate Magdziuk_error,Tera Roberts_error
246,9,K,Harrison Butker,6.0,3.0,7.0,6.0,6.0,7.0,7.0,7,14.0,8.0,11.0,7.0,8.0,8.0,7.0,7.0
247,9,K,Ka'imi Fairbairn,7.0,8.0,5.0,8.0,7.0,6.0,6.0,9,8.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0
248,9,K,Cameron Dicker,8.0,6.0,8.0,,8.0,8.0,10.0,3,25.0,17.0,19.0,17.0,,17.0,17.0,15.0
249,9,K,Evan McPherson,9.0,9.0,10.0,7.0,10.0,10.0,8.0,12,3.0,6.0,6.0,7.0,4.0,7.0,7.0,5.0
250,9,K,Brandon McManus,10.0,12.0,9.0,,9.0,9.0,11.0,6,18.0,8.0,6.0,9.0,,9.0,9.0,7.0
251,9,K,Jake Elliott,11.0,10.0,12.0,11.0,12.0,11.0,9.0,5,21.0,10.0,11.0,9.0,10.0,9.0,10.0,12.0
252,9,K,Tyler Bass,12.0,,,10.0,,12.0,,14,1.0,11.0,,,9.0,,11.0,
253,9,K,Jake Bates,,,11.0,,11.0,,12.0,6,18.0,,,7.0,,7.0,,6.0
254,9,K,Chase McLaughlin,,11.0,,,,,,7,14.0,,3.0,,,,,
255,9,K,Jason Myers,,,,12.0,,,,2,29.0,,,,17.0,,,
256,9,K,Blake Grupe,,,,9.0,,,,12,3.0,,,,6.0,,,
257,9,K,Wil Lutz,,,,,,,,4,22.0,,,,,,,
258,9,K,Cairo Santos,,,,,,,,13,2.0,,,,,,,
259,9,K,Chad Ryland,,,,,,,,11,5.0,,,,,,,
260,9,K,Jason Sanders,,,,,,,,9,8.0,,,,,,,
261,9,K,Matt Gay,,,,,,,,10,7.0,,,,,,,
262,9,K,Joshua Karty,,,,,,,,8,12.0,,,,,,,
263,9,K,Dustin Hopkins,,,,,,,,4,22.0,,,,,,,
264,9,K,Cam Little,,,,,,,,1,30.0,,,,,,,
265,9,K,Daniel Carlson,,,,,,,,7,14.0,,,,,,,
266,9,K,Joey Slye,,,,,,,,7,14.0,,,,,,,
267,9,K,Riley Patterson,,,,,,,,3,25.0,,,,,,,
268,9,K,Eddy Pineiro,,,,,,,,6,18.0,,,,,,,
269,9,K,Nick Folk,,,,,,,,8,12.0,,,,,,,
270,9,K,Jude McAtamney,,,,,,,,4,22.0,,,,,,,
271,10,K,Younghoe Koo,1.0,1.0,2.0,2.0,2.0,1.0,5.0,5,21.0,20.0,20.0,19.0,19.0,19.0,20.0,16.0
272,10,K,Justin Tucker,2.0,4.0,3.0,1.0,3.0,5.0,1.0,3,25.0,23.0,21.0,22.0,24.0,22.0,20.0,24.0
273,10,K,Cameron Dicker,3.0,2.0,4.0,4.0,4.0,2.0,6.0,9,13.0,10.0,11.0,9.0,9.0,9.0,11.0,7.0
274,10,K,Tyler Bass,4.0,6.0,5.0,6.0,5.0,9.0,2.0,13,3.0,1.0,3.0,2.0,3.0,2.0,6.0,1.0
275,10,K,Chris Boswell,5.0,9.0,1.0,9.0,7.0,7.0,3.0,4,23.0,18.0,14.0,22.0,14.0,16.0,16.0,20.0
276,10,K,Harrison Butker,6.0,3.0,8.0,3.0,10.0,10.0,4.0,10,10.0,4.0,7.0,2.0,7.0,0.0,0.0,6.0
277,10,K,Ka'imi Fairbairn,7.0,8.0,6.0,8.0,6.0,3.0,7.0,13,3.0,4.0,5.0,3.0,5.0,3.0,0.0,4.0
278,10,K,Brandon Aubrey,8.0,5.0,7.0,,8.0,4.0,8.0,7,17.0,9.0,12.0,10.0,,9.0,13.0,9.0
279,10,K,Jake Elliott,9.0,,9.0,7.0,11.0,11.0,11.0,10,10.0,1.0,,1.0,3.0,1.0,1.0,1.0
280,10,K,Jake Bates,10.0,,10.0,11.0,12.0,12.0,12.0,12,7.0,3.0,,3.0,4.0,5.0,5.0,5.0
281,10,K,Jason Sanders,11.0,11.0,,,,,9.0,15,2.0,9.0,9.0,,,,,7.0
282,10,K,Evan McPherson,12.0,10.0,12.0,,,,,4,23.0,11.0,13.0,11.0,,,,
283,10,K,Jake Moody,,7.0,,5.0,,,10.0,12,7.0,,0.0,,2.0,,,3.0
284,10,K,Joshua Karty,,12.0,11.0,10.0,,,,19,1.0,,11.0,10.0,9.0,,,
285,10,K,Matt Gay,,,,,,,,8,14.0,,,,,,,
286,10,K,Blake Grupe,,,,,,6.0,,8,14.0,,,,,,8.0,
287,10,K,Chad Ryland,,,,,,,,7,17.0,,,,,,,
288,10,K,Chase McLaughlin,,,,,,,,8,14.0,,,,,,,
289,10,K,Wil Lutz,,,,,,,,2,27.0,,,,,,,
290,10,K,Zane Gonzalez,,,,12.0,,8.0,,11,9.0,,,,3.0,,1.0,
291,10,K,Cairo Santos,,,,,,,,3,25.0,,,,,,,
292,10,K,Cam Little,,,,,,,,1,28.0,,,,,,,
293,10,K,Joey Slye,,,,,,,,13,3.0,,,,,,,
294,10,K,Nick Folk,,,,,,,,5,21.0,,,,,,,
295,10,K,Spencer Shrader,,,,,,,,7,17.0,,,,,,,
296,10,K,Eddy Pineiro,,,,,,,,10,10.0,,,,,,,
297,11,K,Ka'imi Fairbairn,1.0,1.0,1.0,2.0,3.0,1.0,1.0,10,9.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0
298,11,K,Jake Bates,2.0,3.0,2.0,1.0,1.0,2.0,3.0,12,3.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0
299,11,K,Cameron Dicker,3.0,2.0,4.0,4.0,2.0,3.0,4.0,12,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
300,11,K,Chris Boswell,4.0,7.0,3.0,7.0,6.0,4.0,2.0,24,1.0,3.0,6.0,2.0,6.0,5.0,3.0,1.0
301,11,K,Justin Tucker,5.0,4.0,5.0,6.0,4.0,5.0,6.0,6,18.0,13.0,14.0,13.0,12.0,14.0,13.0,12.0
302,11,K,Jake Moody,6.0,5.0,7.0,3.0,5.0,6.0,7.0,5,22.0,16.0,17.0,15.0,19.0,17.0,16.0,15.0
303,11,K,Tyler Bass,7.0,9.0,6.0,9.0,7.0,7.0,5.0,6,18.0,11.0,9.0,12.0,9.0,11.0,11.0,13.0
304,11,K,Younghoe Koo,8.0,6.0,8.0,11.0,8.0,9.0,,9,10.0,2.0,4.0,2.0,1.0,2.0,1.0,
305,11,K,Jason Sanders,9.0,,10.0,5.0,11.0,10.0,8.0,11,6.0,3.0,,4.0,1.0,5.0,4.0,2.0
306,11,K,Jake Elliott,10.0,,11.0,10.0,10.0,,9.0,8,14.0,4.0,,3.0,4.0,4.0,,5.0
307,11,K,Brandon McManus,11.0,,9.0,12.0,9.0,,10.0,2,27.0,16.0,,18.0,15.0,18.0,,17.0
308,11,K,Wil Lutz,12.0,12.0,12.0,8.0,,12.0,,9,10.0,2.0,2.0,2.0,2.0,,2.0,
309,11,K,Joshua Karty,,8.0,,,,,12.0,4,25.0,,17.0,,,,,13.0
310,11,K,Brandon Aubrey,,10.0,,,12.0,11.0,,6,18.0,,8.0,,,6.0,7.0,
311,11,K,Evan McPherson,,,,,,,11.0,9,10.0,,,,,,,1.0
312,11,K,Zane Gonzalez,,11.0,,,,8.0,,5,22.0,,11.0,,,,14.0,
313,11,K,Blake Grupe,,,,,,,,5,22.0,,,,,,,
314,11,K,Dustin Hopkins,,,,,,,,0,28.0,,,,,,,
315,11,K,Matt Gay,,,,,,,,14,2.0,,,,,,,
316,11,K,Jason Myers,,,,,,,,12,3.0,,,,,,,
317,11,K,Spencer Shrader,,,,,,,,3,26.0,,,,,,,
318,11,K,Cairo Santos,,,,,,,,9,10.0,,,,,,,
319,11,K,Daniel Carlson,,,,,,,,7,17.0,,,,,,,
320,11,K,Joey Slye,,,,,,,,11,6.0,,,,,,,
321,11,K,Cam Little,,,,,,,,8,14.0,,,,,,,
322,11,K,Anders Carlson,,,,,,,,11,6.0,,,,,,,
323,11,K,Nick Folk,,,,,,,,8,14.0,,,,,,,
324,12,K,Jake Bates,1.0,3.0,2.0,1.0,1.0,1.0,1.0,8,15.0,14.0,12.0,13.0,14.0,14.0,14.0,14.0
325,12,K,Ka'imi Fairbairn,2.0,2.0,1.0,2.0,3.0,2.0,2.0,11,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0
326,12,K,Cameron Dicker,3.0,1.0,3.0,4.0,4.0,3.0,3.0,16,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
327,12,K,Jason Sanders,4.0,9.0,5.0,5.0,7.0,5.0,4.0,12,9.0,5.0,0.0,4.0,4.0,2.0,4.0,5.0
328,12,K,Wil Lutz,5.0,5.0,7.0,6.0,6.0,6.0,6.0,22,1.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0
329,12,K,Justin Tucker,6.0,6.0,10.0,7.0,8.0,9.0,5.0,7,17.0,11.0,11.0,7.0,10.0,9.0,8.0,12.0
330,12,K,Chris Boswell,7.0,11.0,4.0,10.0,2.0,12.0,7.0,8,15.0,8.0,4.0,11.0,5.0,13.0,3.0,8.0
331,12,K,Chase McLaughlin,8.0,4.0,9.0,8.0,9.0,10.0,8.0,6,18.0,10.0,14.0,9.0,10.0,9.0,8.0,10.0
332,12,K,Jake Moody,9.0,,6.0,12.0,5.0,7.0,12.0,5,22.0,13.0,,16.0,10.0,17.0,15.0,10.0
333,12,K,Brandon Aubrey,10.0,7.0,8.0,,11.0,8.0,,12,9.0,1.0,2.0,1.0,,2.0,1.0,
334,12,K,Spencer Shrader,11.0,12.0,11.0,3.0,,,9.0,13,5.0,6.0,7.0,6.0,2.0,,,4.0
335,12,K,Jake Elliott,12.0,,12.0,9.0,,,11.0,13,5.0,7.0,,7.0,4.0,,,6.0
336,12,K,Chad Ryland,,10.0,,,12.0,,,6,18.0,,8.0,,,6.0,,
337,12,K,Austin Seibert,,8.0,,11.0,,4.0,10.0,9,13.0,,5.0,,2.0,,9.0,3.0
338,12,K,Brandon McManus,,,,,,,,10,12.0,,,,,,,
339,12,K,Matt Gay,,,,,,,,6,18.0,,,,,,,
340,12,K,Joshua Karty,,,,,,,,2,24.0,,,,,,,
341,12,K,Jason Myers,,,,,,,,6,18.0,,,,,,,
342,12,K,Joey Slye,,,,,,,,1,25.0,,,,,,,
343,12,K,Daniel Carlson,,,,,,,,15,4.0,,,,,,,
344,12,K,Dustin Hopkins,,,,,,,,4,23.0,,,,,,,
345,12,K,Cairo Santos,,,,,,,,9,13.0,,,,,,,
346,12,K,Graham Gano,,,,,,,,1,25.0,,,,,,,
347,12,K,Nick Folk,,,,,,,,18,2.0,,,,,,,
348,12,K,Eddy Pineiro,,,,,,,,13,5.0,,,,,,,
349,13,K,Cameron Dicker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
350,13,K,Jake Bates,2.0,5.0,2.0,2.0,3.0,3.0,2.0,12,8.0,6.0,3.0,6.0,6.0,5.0,5.0,6.0
351,13,K,Ka'imi Fairbairn,3.0,8.0,3.0,3.0,2.0,5.0,4.0,13,6.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0
352,13,K,Chris Boswell,4.0,2.0,4.0,5.0,4.0,7.0,3.0,16,2.0,2.0,0.0,2.0,3.0,2.0,5.0,1.0
353,13,K,Chase McLaughlin,5.0,7.0,6.0,6.0,5.0,4.0,5.0,16,2.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0
354,13,K,Brandon Aubrey,6.0,3.0,8.0,4.0,7.0,8.0,6.0,9,16.0,10.0,13.0,8.0,12.0,9.0,8.0,10.0
355,13,K,Wil Lutz,7.0,4.0,5.0,9.0,8.0,11.0,9.0,11,12.0,5.0,8.0,7.0,3.0,4.0,1.0,3.0
356,13,K,Justin Tucker,8.0,6.0,7.0,8.0,6.0,6.0,,9,16.0,8.0,10.0,9.0,8.0,10.0,10.0,
357,13,K,Jake Elliott,9.0,10.0,9.0,,9.0,2.0,7.0,6,22.0,13.0,12.0,13.0,,13.0,20.0,15.0
358,13,K,Tyler Bass,11.0,,,,10.0,10.0,8.0,5,25.0,14.0,,,,15.0,15.0,17.0
359,13,K,Brandon McManus,12.0,,,12.0,,,12.0,13,6.0,6.0,,,6.0,,,6.0
360,13,K,Jason Sanders,,,12.0,,,12.0,10.0,3,29.0,,,17.0,,,17.0,19.0
361,13,K,Chad Ryland,,,11.0,,,9.0,,17,1.0,,,10.0,,,8.0,
362,13,K,Younghoe Koo,,12.0,,,,,,8,19.0,,7.0,,,,,
363,13,K,Joshua Karty,,,,11.0,,,,3,29.0,,,,18.0,,,
364,13,K,Evan McPherson,,,,,,,,8,19.0,,,,,,,
365,13,K,Jason Myers,,,,,,,,11,12.0,,,,,,,
366,13,K,Matt Gay,,,,,,,,5,25.0,,,,,,,
367,13,K,Zane Gonzalez,,11.0,,,,,,6,22.0,,11.0,,,,,
368,13,K,Jake Moody,,,,,,,,4,28.0,,,,,,,
369,13,K,Blake Grupe,,,,,,,,10,14.0,,,,,,,
370,13,K,Matthew Wright,,,,7.0,,,,14,4.0,,,,3.0,,,
371,13,K,Joey Slye,,,,,,,,12,8.0,,,,,,,
372,13,K,Nick Folk,,,,,,,,9,16.0,,,,,,,
373,13,K,Cairo Santos,,,,,,,,2,31.0,,,,,,,
374,13,K,Dustin Hopkins,,,,,,,,7,21.0,,,,,,,
375,13,K,Eddy Pineiro,,,,,,,,12,8.0,,,,,,,
376,13,K,Daniel Carlson,,,,,,,,5,25.0,,,,,,,
377,13,K,Cam Little,,,,,,,,6,22.0,,,,,,,
378,13,K,Graham Gano,,,,,,,,10,14.0,,,,,,,
